fid,pud,X,Y
394,1,313542.9846,1318169.26
395,17,357542.9846,1318169.26
396,6,358542.9846,1318169.26
397,15,367542.9846,1318169.26
398,1,368542.9846,1318169.26
399,7,381542.9846,1318169.26
400,1,382542.9846,1318169.26
401,1,310542.9846,1319169.26
402,2,311542.9846,1319169.26
403,1,312542.9846,1319169.26
404,5,357542.9846,1319169.26
405,2,358542.9846,1319169.26
406,1,359542.9846,1319169.26
407,1,367542.9846,1319169.26
408,1,311542.9846,1320169.26
409,1,312542.9846,1320169.26
410,1,359542.9846,1320169.26
411,4,360542.9846,1320169.26
412,1,374542.9846,1320169.26
413,5,359542.9846,1321169.26
414,1,333542.9846,1322169.26
415,1,359542.9846,1322169.26
416,2,309542.9846,1323169.26
417,2,318542.9846,1323169.26
418,1,323542.9846,1323169.26
419,3,357542.9846,1323169.26
420,1,359542.9846,1323169.26
421,14,323542.9846,1324169.26
422,1,324542.9846,1324169.26
423,1,348542.9846,1324169.26
424,1,356542.9846,1324169.26
425,1,359542.9846,1324169.26
426,1,375542.9846,1324169.26
427,1,313542.9846,1325169.26
428,1,337542.9846,1325169.26
429,4,359542.9846,1325169.26
430,2,360542.9846,1325169.26
431,2,315542.9846,1326169.26
432,3,318542.9846,1326169.26
433,3,359542.9846,1326169.26
434,1,309542.9846,1327169.26
435,3,359542.9846,1327169.26
436,1,391542.9846,1327169.26
437,2,360542.9846,1328169.26
438,4,281542.9846,1329169.26
439,1,315542.9846,1330169.26
440,1,361542.9846,1332169.26
441,1,306542.9846,1333169.26
442,1,310542.9846,1333169.26
443,1,361542.9846,1333169.26
444,7,362542.9846,1333169.26
445,1,290542.9846,1334169.26
446,2,314542.9846,1334169.26
447,3,362542.9846,1334169.26
448,1,362542.9846,1336169.26
449,1,364542.9846,1336169.26
450,1,397542.9846,1336169.26
451,1,313542.9846,1337169.26
452,5,364542.9846,1337169.26
453,1,315542.9846,1338169.26
454,4,364542.9846,1338169.26
455,2,365542.9846,1338169.26
456,1,366542.9846,1338169.26
457,1,382542.9846,1338169.26
458,1,364542.9846,1339169.26
459,2,366542.9846,1339169.26
460,1,367542.9846,1339169.26
461,1,363542.9846,1340169.26
462,18,366542.9846,1340169.26
463,1,367542.9846,1340169.26
464,8,300542.9846,1341169.26
465,3,363542.9846,1341169.26
466,3,366542.9846,1341169.26
467,4,345542.9846,1342169.26
468,6,364542.9846,1342169.26
469,71,365542.9846,1342169.26
470,2,366542.9846,1342169.26
471,20,362542.9846,1343169.26
472,21,363542.9846,1343169.26
473,16,364542.9846,1343169.26
474,14,365542.9846,1343169.26
475,2,316542.9846,1344169.26
476,6,362542.9846,1344169.26
477,2,363542.9846,1344169.26
478,4,360542.9846,1345169.26
479,11,361542.9846,1345169.26
480,4,362542.9846,1345169.26
481,8,363542.9846,1345169.26
482,1,375542.9846,1345169.26
483,6,357542.9846,1346169.26
484,6,358542.9846,1346169.26
485,2,359542.9846,1346169.26
486,10,360542.9846,1346169.26
487,5,356542.9846,1347169.26
488,5,357542.9846,1347169.26
489,2,358542.9846,1347169.26
490,1,287542.9846,1348169.26
491,3,304542.9846,1348169.26
492,1,305542.9846,1348169.26
493,3,355542.9846,1348169.26
494,2,356542.9846,1348169.26
495,1,310542.9846,1349169.26
496,1,311542.9846,1349169.26
497,1,313542.9846,1349169.26
498,1,353542.9846,1349169.26
499,3,354542.9846,1349169.26
500,3,355542.9846,1349169.26
501,2,356542.9846,1349169.26
502,1,310542.9846,1350169.26
503,15,311542.9846,1350169.26
504,19,312542.9846,1350169.26
505,13,313542.9846,1350169.26
506,16,351542.9846,1350169.26
507,7,352542.9846,1350169.26
508,1,353542.9846,1350169.26
509,1,307542.9846,1351169.26
510,54,313542.9846,1351169.26
511,5,314542.9846,1351169.26
512,2,315542.9846,1351169.26
513,25,351542.9846,1351169.26
514,12,314542.9846,1352169.26
515,8,315542.9846,1352169.26
516,2,350542.9846,1352169.26
517,9,351542.9846,1352169.26
518,1,308542.9846,1353169.26
519,1,309542.9846,1353169.26
520,20,314542.9846,1353169.26
521,12,315542.9846,1353169.26
522,4,350542.9846,1353169.26
523,7,351542.9846,1353169.26
524,3,303542.9846,1354169.26
525,1,310542.9846,1354169.26
526,9,315542.9846,1354169.26
527,1,349542.9846,1354169.26
528,1,313542.9846,1355169.26
529,110,314542.9846,1355169.26
530,21,350542.9846,1355169.26
531,1,301542.9846,1356169.26
532,1,309542.9846,1356169.26
533,1,313542.9846,1356169.26
534,1,326542.9846,1356169.26
535,3,350542.9846,1356169.26
536,2,299542.9846,1357169.26
537,3,308542.9846,1357169.26
538,1,349542.9846,1357169.26
539,2,330542.9846,1358169.26
540,2,348542.9846,1358169.26
541,2,352542.9846,1358169.26
542,1,330542.9846,1359169.26
543,2,348542.9846,1359169.26
544,1,299542.9846,1360169.26
545,1,329542.9846,1360169.26
546,2,348542.9846,1360169.26
547,4,348542.9846,1361169.26
548,1,306542.9846,1362169.26
549,3,347542.9846,1362169.26
550,4,348542.9846,1362169.26
551,7,343542.9846,1363169.26
552,12,347542.9846,1363169.26
553,1,306542.9846,1364169.26
554,1,340542.9846,1364169.26
555,2,345542.9846,1364169.26
556,2,346542.9846,1364169.26
557,2,307542.9846,1365169.26
558,3,308542.9846,1365169.26
559,41,337542.9846,1365169.26
560,8,338542.9846,1365169.26
561,1,339542.9846,1365169.26
562,1,344542.9846,1365169.26
563,2,345542.9846,1365169.26
564,1,308542.9846,1366169.26
565,2,313542.9846,1366169.26
566,1,320542.9846,1366169.26
567,2,338542.9846,1366169.26
568,1,340542.9846,1366169.26
569,11,344542.9846,1366169.26
570,1,345542.9846,1366169.26
571,9,306542.9846,1367169.26
572,1,311542.9846,1367169.26
573,2,332542.9846,1367169.26
574,1,343542.9846,1367169.26
575,2,344542.9846,1367169.26
576,2,348542.9846,1367169.26
577,1,342542.9846,1368169.26
578,2,343542.9846,1368169.26
579,2,308542.9846,1369169.26
580,17,342542.9846,1369169.26
581,3,343542.9846,1369169.26
582,1,332542.9846,1370169.26
583,5,342542.9846,1370169.26
584,7,343542.9846,1370169.26
585,1,314542.9846,1371169.26
586,1,339542.9846,1371169.26
587,5,340542.9846,1371169.26
588,10,341542.9846,1371169.26
589,1,292542.9846,1372169.26
590,1,310542.9846,1372169.26
591,1,336542.9846,1372169.26
592,2,339542.9846,1372169.26
593,2,340542.9846,1372169.26
594,1,335542.9846,1373169.26
595,1,337542.9846,1373169.26
596,3,338542.9846,1373169.26
597,3,339542.9846,1373169.26
598,1,317542.9846,1374169.26
599,3,318542.9846,1374169.26
600,10,319542.9846,1374169.26
601,2,341542.9846,1374169.26
602,1,344542.9846,1374169.26
603,1,329542.9846,1375169.26
604,1,339542.9846,1375169.26
605,1,331542.9846,1376169.26
606,2,337542.9846,1376169.26
607,1,320542.9846,1377169.26
608,1,331542.9846,1377169.26
609,1,335542.9846,1378169.26
610,2,335542.9846,1379169.26
611,1,336542.9846,1379169.26
612,1,330542.9846,1380169.26
613,1,333542.9846,1380169.26
614,6,334542.9846,1380169.26
615,1,322542.9846,1381169.26
616,1,326542.9846,1381169.26
617,1,330542.9846,1381169.26
618,2,331542.9846,1381169.26
619,4,332542.9846,1381169.26
620,1,327542.9846,1383169.26
621,31,329542.9846,1384169.26
622,4,330542.9846,1384169.26
623,1,318542.9846,1385169.26
624,1,329542.9846,1385169.26
625,1,323542.9846,1386169.26
626,2,324542.9846,1386169.26
627,5,329542.9846,1386169.26
628,1,338542.9846,1386169.26
629,1,328542.9846,1387169.26
630,3,328542.9846,1388169.26
631,7,329542.9846,1388169.26
632,8,330542.9846,1388169.26
633,1,332542.9846,1388169.26
634,1,333542.9846,1388169.26
635,1,336542.9846,1388169.26
636,35,329542.9846,1389169.26
637,1,331542.9846,1389169.26
638,1,325542.9846,1390169.26
639,17,329542.9846,1390169.26
640,1,330542.9846,1390169.26
641,1,331542.9846,1390169.26
642,1,333542.9846,1390169.26
643,1,334542.9846,1390169.26
644,1,326542.9846,1391169.26
645,4,327542.9846,1391169.26
646,5,328542.9846,1391169.26
647,9,329542.9846,1391169.26
648,45,330542.9846,1391169.26
649,1,331542.9846,1391169.26
650,1,332542.9846,1391169.26
651,1,333542.9846,1391169.26
652,3,334542.9846,1391169.26
653,9,329542.9846,1392169.26
654,103,330542.9846,1392169.26
655,29,331542.9846,1392169.26
656,5,332542.9846,1392169.26
657,5,333542.9846,1392169.26
658,1,335542.9846,1392169.26
659,4,328542.9846,1393169.26
660,21,329542.9846,1393169.26
661,5,330542.9846,1393169.26
662,43,331542.9846,1393169.26
663,25,332542.9846,1393169.26
664,223,333542.9846,1393169.26
665,8,334542.9846,1393169.26
666,1,319542.9846,1394169.26
667,11,327542.9846,1394169.26
668,2,329542.9846,1394169.26
669,10,331542.9846,1394169.26
670,564,332542.9846,1394169.26
671,2066,333542.9846,1394169.26
672,26,334542.9846,1394169.26
673,3,335542.9846,1394169.26
674,23,326542.9846,1395169.26
675,16,328542.9846,1395169.26
676,10,329542.9846,1395169.26
677,10,330542.9846,1395169.26
678,26,331542.9846,1395169.26
679,859,332542.9846,1395169.26
680,1215,333542.9846,1395169.26
681,551,334542.9846,1395169.26
682,1,335542.9846,1395169.26
683,5,337542.9846,1395169.26
684,26,328542.9846,1396169.26
685,29,330542.9846,1396169.26
686,103,331542.9846,1396169.26
687,76,332542.9846,1396169.26
688,142,333542.9846,1396169.26
689,2,334542.9846,1396169.26
690,1,336542.9846,1396169.26
691,6,329542.9846,1397169.26
692,17,330542.9846,1397169.26
693,5,331542.9846,1397169.26
694,1,332542.9846,1397169.26
695,20,333542.9846,1397169.26
696,17,334542.9846,1397169.26
697,1,335542.9846,1397169.26
698,1,326542.9846,1398169.26
699,1,327542.9846,1398169.26
700,3,328542.9846,1398169.26
701,7,329542.9846,1398169.26
702,1,330542.9846,1398169.26
703,20,331542.9846,1398169.26
704,101,332542.9846,1398169.26
705,190,334542.9846,1398169.26
706,1,335542.9846,1398169.26
707,1,336542.9846,1398169.26
708,1,329542.9846,1399169.26
709,1,332542.9846,1399169.26
710,3,335542.9846,1399169.26
711,2,336542.9846,1399169.26
712,3,328542.9846,1400169.26
713,18,335542.9846,1400169.26
714,4,336542.9846,1401169.26
715,2,337542.9846,1401169.26
716,1,335542.9846,1402169.26
717,1,336542.9846,1402169.26
718,3,337542.9846,1402169.26
719,1,338542.9846,1402169.26
720,1,336542.9846,1403169.26
721,1,337542.9846,1403169.26
722,1,341542.9846,1403169.26
723,1,337542.9846,1404169.26
724,2,338542.9846,1404169.26
725,1,339542.9846,1408169.26
726,2,341542.9846,1409169.26
