transect_id,fid,veg_type,site_name,size_categ,X,Y,perimeter_m,area_ha,fvc_perc,imp_surf,distance_m,ref_temp_max,temp_oC,cooling_inten_oC
1,61,Forest,Church_RuralVillage,Large-sized,332469.8836,1291615.775,1007.2,7.5,0,0.391,300,32.6,30,2.6
1,62,Forest,Church_RuralVillage,Large-sized,332474.6127,1291614.151,1007.2,7.5,0,0.401,305,32.6,30.1,2.5
1,63,Forest,Church_RuralVillage,Large-sized,332479.3418,1291612.528,1007.2,7.5,0,0.411,310,32.6,30.1,2.5
1,64,Forest,Church_RuralVillage,Large-sized,332484.0708,1291610.904,1007.2,7.5,0,0.421,315,32.6,30.1,2.5
1,65,Forest,Church_RuralVillage,Large-sized,332488.7999,1291609.281,1007.2,7.5,0,0.431,320,32.6,30.1,2.5
1,66,Forest,Church_RuralVillage,Large-sized,332493.529,1291607.657,1007.2,7.5,0,0.441,325,32.6,30.1,2.5
1,67,Forest,Church_RuralVillage,Large-sized,332498.258,1291606.033,1007.2,7.5,0,0.451,330,32.6,30.2,2.4
1,68,Forest,Church_RuralVillage,Large-sized,332502.9871,1291604.41,1007.2,7.5,0,0.461,335,32.6,30.3,2.3
1,69,Forest,Church_RuralVillage,Large-sized,332507.7162,1291602.786,1007.2,7.5,0,0.471,340,32.6,30.4,2.2
1,70,Forest,Church_RuralVillage,Large-sized,332512.4452,1291601.163,1007.2,7.5,0,0.481,345,32.6,30.4,2.2
1,71,Forest,Church_RuralVillage,Large-sized,332517.1743,1291599.539,1007.2,7.5,0,0.491,350,32.6,30.4,2.2
1,72,Forest,Church_RuralVillage,Large-sized,332521.9033,1291597.916,1007.2,7.5,0,0.381,355,32.6,30.4,2.2
1,73,Forest,Church_RuralVillage,Large-sized,332526.6324,1291596.292,1007.2,7.5,0,0.471,360,32.6,30.4,2.2
1,74,Forest,Church_RuralVillage,Large-sized,332531.3615,1291594.669,1007.2,7.5,0,0.461,365,32.6,30.5,2.1
1,75,Forest,Church_RuralVillage,Large-sized,332536.0905,1291593.045,1007.2,7.5,0,0.351,370,32.6,30.6,2
1,76,Forest,Church_RuralVillage,Large-sized,332540.8196,1291591.421,1007.2,7.5,0,0.341,375,32.6,30.6,2
1,77,Forest,Church_RuralVillage,Large-sized,332545.5487,1291589.798,1007.2,7.5,0,0.431,380,32.6,30.6,2
1,78,Forest,Church_RuralVillage,Large-sized,332550.2777,1291588.174,1007.2,7.5,0,0.421,385,32.6,30.6,2
1,79,Forest,Church_RuralVillage,Large-sized,332555.0068,1291586.551,1007.2,7.5,0,0.411,390,32.6,30.6,2
1,80,Forest,Church_RuralVillage,Large-sized,332559.7359,1291584.927,1007.2,7.5,0,0.401,395,32.6,30.6,2
2,81,Forest,GobatMickChurch_Cultivated,Large-sized,336341.4754,1293256.158,933.5,6.2,0.655,0,0,32.6,26.5,6.1
2,82,Forest,GobatMickChurch_Cultivated,Large-sized,336339.1466,1293251.733,933.5,6.2,0.659,0,5,32.6,26.6,6
2,83,Forest,GobatMickChurch_Cultivated,Large-sized,336336.8179,1293247.308,933.5,6.2,0.668,0,10,32.6,26.6,6
2,84,Forest,GobatMickChurch_Cultivated,Large-sized,336334.4892,1293242.884,933.5,6.2,0.667,0,15,32.6,26.6,6
2,85,Forest,GobatMickChurch_Cultivated,Large-sized,336332.1604,1293238.459,933.5,6.2,0.661,0,20,32.6,26.7,5.9
2,86,Forest,GobatMickChurch_Cultivated,Large-sized,336329.8317,1293234.035,933.5,6.2,0.656,0,25,32.6,26.7,5.9
2,87,Forest,GobatMickChurch_Cultivated,Large-sized,336327.503,1293229.61,933.5,6.2,0.641,0,30,32.6,26.8,5.8
2,88,Forest,GobatMickChurch_Cultivated,Large-sized,336325.1743,1293225.185,933.5,6.2,0.632,0,35,32.6,26.8,5.8
2,89,Forest,GobatMickChurch_Cultivated,Large-sized,336322.8455,1293220.761,933.5,6.2,0.616,0,40,32.6,26.8,5.8
2,90,Forest,GobatMickChurch_Cultivated,Large-sized,336320.5168,1293216.336,933.5,6.2,0.61,0,45,32.6,26.8,5.8
2,91,Forest,GobatMickChurch_Cultivated,Large-sized,336318.2724,1293211.868,933.5,6.2,0.602,0,50,32.6,26.8,5.8
2,92,Forest,GobatMickChurch_Cultivated,Large-sized,336316.0364,1293207.396,933.5,6.2,0.598,0,55,32.6,26.9,5.7
2,93,Forest,GobatMickChurch_Cultivated,Large-sized,336313.8003,1293202.924,933.5,6.2,0.584,0,60,32.6,26.9,5.7
2,94,Forest,GobatMickChurch_Cultivated,Large-sized,336311.5642,1293198.452,933.5,6.2,0.581,0,65,32.6,26.9,5.7
2,95,Forest,GobatMickChurch_Cultivated,Large-sized,336309.3282,1293193.98,933.5,6.2,0.582,0,70,32.6,26.9,5.7
2,96,Forest,GobatMickChurch_Cultivated,Large-sized,336307.0921,1293189.508,933.5,6.2,0.579,0,75,32.6,26.9,5.7
2,97,Forest,GobatMickChurch_Cultivated,Large-sized,336304.856,1293185.036,933.5,6.2,0.58,0,80,32.6,27,5.6
2,98,Forest,GobatMickChurch_Cultivated,Large-sized,336302.62,1293180.563,933.5,6.2,0.579,0,85,32.6,27,5.6
2,99,Forest,GobatMickChurch_Cultivated,Large-sized,336300.3839,1293176.091,933.5,6.2,0.577,0,90,32.6,27,5.6
2,100,Forest,GobatMickChurch_Cultivated,Large-sized,336297.8672,1293171.786,933.5,6.2,0.576,0,95,32.6,27,5.6
2,101,Forest,GobatMickChurch_Cultivated,Large-sized,336294.9999,1293167.69,933.5,6.2,0.577,0,100,32.6,27.1,5.5
2,102,Forest,GobatMickChurch_Cultivated,Large-sized,336292.1326,1293163.594,933.5,6.2,0.577,0,105,32.6,27.1,5.5
2,103,Forest,GobatMickChurch_Cultivated,Large-sized,336289.2652,1293159.498,933.5,6.2,0.575,0,110,32.6,27.1,5.5
2,104,Forest,GobatMickChurch_Cultivated,Large-sized,336286.3979,1293155.402,933.5,6.2,0.573,0,115,32.6,27.1,5.5
2,105,Forest,GobatMickChurch_Cultivated,Large-sized,336283.5306,1293151.305,933.5,6.2,0.572,0,120,32.6,27.1,5.5
2,106,Forest,GobatMickChurch_Cultivated,Large-sized,336280.6633,1293147.209,933.5,6.2,0.573,0,125,32.6,27.3,5.3
2,107,Forest,GobatMickChurch_Cultivated,Large-sized,336277.796,1293143.113,933.5,6.2,0.574,0,130,32.6,27.4,5.2
2,108,Forest,GobatMickChurch_Cultivated,Large-sized,336274.9287,1293139.017,933.5,6.2,0.114,0,135,32.6,27.5,5.1
2,109,Forest,GobatMickChurch_Cultivated,Large-sized,336272.0614,1293134.921,933.5,6.2,0.047,0,140,32.6,27.6,5
2,110,Forest,GobatMickChurch_Cultivated,Large-sized,336269.1941,1293130.825,933.5,6.2,0.003,0,145,32.6,27.7,4.9
2,111,Forest,GobatMickChurch_Cultivated,Large-sized,336266.3268,1293126.729,933.5,6.2,0.006,0,150,32.6,27.8,4.8
2,112,Forest,GobatMickChurch_Cultivated,Large-sized,336263.4594,1293122.632,933.5,6.2,0.055,0,155,32.6,27.9,4.7
2,113,Forest,GobatMickChurch_Cultivated,Large-sized,336260.5921,1293118.536,933.5,6.2,0.003,0,160,32.6,27.9,4.7
2,114,Forest,GobatMickChurch_Cultivated,Large-sized,336257.7248,1293114.44,933.5,6.2,0.051,0,165,32.6,27.9,4.7
2,115,Forest,GobatMickChurch_Cultivated,Large-sized,336254.8575,1293110.344,933.5,6.2,0.051,0,170,32.6,28,4.6
2,116,Forest,GobatMickChurch_Cultivated,Large-sized,336252.5184,1293105.927,933.5,6.2,0.009,0,175,32.6,28.1,4.5
2,117,Forest,GobatMickChurch_Cultivated,Large-sized,336250.2116,1293101.491,933.5,6.2,0,0,180,32.6,28.1,4.5
2,118,Forest,GobatMickChurch_Cultivated,Large-sized,336247.9048,1293097.055,933.5,6.2,0,0,185,32.6,28.2,4.4
